	id	text	label	word
0	1592448627703971840	@JanJohansson101 @Budda_Jansson Räcker väl du gått 40 poäng genusvetenskap på Södertörn så kan den som är född kvinna som blivit gravid magiskt 🧙 påstår att hon är en man plötslig 😂	1	genusvetenskap
1	1569056301807796228	@Magnusbetner Finns det hjärteland finns det stjärteland	0	hjärteland
2	1514006129478672392	@KatarinaJohans8 går vi in i Nato så hjälper vi helt klart till att indirekt bygga upp sverige som en exceptionellt kompatibel koloni till USA,så att deepstate kan hinna med att forma sitt globala kolonialstatliga-hjärteland,som då möjliggör ett globalt-härskande/ett världsherravälde - enligt	1	hjärteland
3	1572653232891240449	@jonasgladnikoff Finns det hjärteland…	0	hjärteland
4	1592416325120708608	@angryswede777 @HerrFlax @baloo_bjornen I Sverige är du automatiskt rasist om du är nationalist enligt vänstern.	1	nationalist
5	1592784852503629826	@ErenmalmLeo Ja, helt obegripligt att folk inte ser charmen och den vetenskapliga stringensen i genusvetenskap, emotionellt bottnad energipolitik, vurmen för antisekularism, problematiserandet av något så diffust som kön och den principlöshet som genomsyrar hela jämlikhetsbegreppet.	1	genusvetenskap
6	1592573231881682944	Kanske Akilov är kurdisk PKK nationalist? Det kan förklara kopplingen/ transaktionerna från familjen Nüjen som är aktiva PKK nationalister. Akilov hade planerat låtsas vara ISIS. Här en artikel från aug 2015, av Özz Nüjen, 18 månader innan terrorbrottet.  expressen.se/kultur/ozz-nuj…	0	nationalist
7	1592173055534563328	"""Om sådant som triggervarningar och studenters förväntningar på språkbruk hålls det regelbundna seminarier."" @RebeccaSelberg, docent i sociologi och genusvetenskap vid Lunds universitet, om ministerns aviserade granskning av cancelkultur på universiteten. sydsvenskan.se/2022-11-14/min…"	0	genusvetenskap
8	1544243929650024448	@junewetter De jag skrev betyder dock väldigt mycket för en annan🥰 Så hjärteland var något nytt och okänt (så kanske man kan beskriva,men ja du har rätt,känns mer amerikanskt än norskt 🤣)	0	hjärteland
9	1565197903869657088	I (S) hjärteland -Skäggetorp, Rinkeby, Vivalla, Tjärna Ängar- tar man mera troligt kniven och skjutvapnet med till skolan, skolan som får 50% MER i skolpeng... dn.se/ledare/arvid-a…	0	hjärteland
10	1592796363137650688	@ErenmalmLeo Vad räknas som högutbildad och lågutbildad?  Räknas genusvetenskap som högutbildning?  Eller menar du alla de program som är beroende av staten för pengar när de ska börja jobba???	0	genusvetenskap
11	1592287091983265793	@nationalist_17 @YekbunAlp Hahahaha åh harre, jag hoppas att du inte tror på det själv utan bara försöker driva NATO-propaganda, annars är det ju fan synd om dig	2	nationalist
12	1566028082187755522	@Hkan @ulrikagood Det är inte bara i hjärtelandet en falukorv går hem. Finns det hjärteland så finns det… 😬 #fäb…	0	hjärteland
13	1592647657381834752	@Fladderpuck Lite som med nationalist/patriot. Jag har aldrig sett på mig själv som nationalist trots att jag älskar Sverige	0	nationalist
14	1592426765187952642	"@holm_dr @UlfBjereld @victorsmalm Är du bekant med den engelska termen för ""genusvetenskap""? Den är betydligt med adekvat."	0	genusvetenskap
15	1589962234561978369	@legionmint Hur är det. Går det att resa in i USA med en gällande villkorlig dom utan vidare? De torde väl få göra någon typ av undantag om vår Vice statsminister önskar resa till ett riktigt hjärteland?	0	hjärteland
16	1562806161854054406	@vingadeyeliner Helt klart hjärteland, mitt i den skånska myllan.	0	hjärteland
17	1592555266037391363	@ars_gravitatis @kwasbeb @ApplePodcasts Nej, det sade hon inte. Hon sa att Hitler inte var nationalist för att han mördade sin egen befolkning och hon anser Hitler vara en galning. Rätt ska vara rätt.	0	nationalist
18	1510662513523834880	@LenaHansson130 hjärteland innebär komplotten som de högra rörelserna startar för att sätta bygget av herraväldet på bekostnad av folkets demokratiska rättigheter(tom vad man ska göra för att få folkets röst betydelselös&amp;rösträtt att inte påverka några fler nyval !	1	hjärteland
19	1592237364231147520	@Ekenskis Omöjligt vara nationalist på 2000-talet och samtidigt inte vara dilettant också.	0	nationalist
20	1592286950324854784	@mariasunflower Man trodde att folk slutade vara snorungar när de blev vuxna men tydligen inte. Någon hade studerat genusvetenskap och beklagade sig över att samhället inte såg till att varenda tjej har råd med en stor tvåa i Stockholms innerstad 😂	0	genusvetenskap
21	1591474836941205505	@Sadribeh @TonySjoberg1 Att tillsätta en nyexaminerad jurist med extra poäng i genusvetenskap men utan någon som helst erfarenhet av arbetsliv och brottslighet är ju så mycket bättre. 🤡	1	genusvetenskap
22	1592278286687928320	"@nationalist_17 @YekbunAlp ""Polisförhör"" i Turkiet brukar komma fram till det MIT tycker att dom ska komma fram till. Dom har verktyg för sånt, vet du väl."	2	nationalist
23	1573312577341456385	@spookulv Värre kommer det bli i Uffes hjärteland!	0	hjärteland
24	1592391451455156224	@nationalist_17 @YekbunAlp haha de verkade ju direkt veta att det var PKK/PYD innan polisförhören.	2	nationalist
25	1592220192070828032	@Krakel_ Enligt Söder kan man inte älska sitt land utan att vara nationalist, men man kan ju undra hur han tänker om de partikamrater som gick i exil i Ungern.	0	nationalist
26	1592289873368682497	Erika Alm, docent i genusvetenskap forskar med bla Pia Laskar, Diana Mulinari, Lena Martinsson. Art skicka fram Alm som samverkar med forskare kopplade till Antirasistiska Akademin (ArA) cellen MMRK att försvara cancelkulturen var talande @goteborgsuni twitter.com/jonas_hinnfors…	0	genusvetenskap
27	1566901263509471234	@kdriks Finns det hjärteland så finns det stjärteland! Rösta med röven!	0	hjärteland
28	1592476899690749953	@Patrik_E_7 @IngridEckerman En hatisk nationalist är dock för mig lika problematisk som vem som helst icke-nationell, däremot är det ett närmare släktband den och mig emellan jämfört med t.ex. en invandrare. Samma gäller en familjemedlem. En hatisk släkting är min fiende, fast själen i dem, inte som person.	1	nationalist
29	1592165332311236608	@AnderssonUlla Det är ingen kostnad, typiskt vänsterpartister som tror sig ha rätten till andra människors pengar, vem fan är du med dina 15 poäng genusvetenskap att diktera över hur mycket människor ska få behålla av SINA pengar?	1	genusvetenskap
30	1592280144873508865	@nationalist_17 @YekbunAlp Haha, nej Turkiet har absolut inget att vinna på att piska upp hatet mot den kurdiska befrielserörelsen, ingenting alls verkligen.  Och ja, poliser i Sverige, USA och Frankrike ägnar sig också åt tortyr, men dom brukar vara lite smartare med det.	0	nationalist
31	1592191714873298949	@anderslindberg Ja han är inte nationalist.	0	nationalist
32	1592628589551575040	@OlovEngqvist @Dykaren21 Instämmer. Han är en kurdisk nationalist, svensk anti-nationalist och jourhavande desinformatör. Att folk betalar för att se och lyssna på honom har jag svårt att förstå.	0	nationalist
33	1592424208629657600	@MrWaternooze Var Elsa Widding nationalist tidigare eller råkade hon bli det när hon upptäckte att det i princip bara var s.k. Svärjevänner, förutom Ubbhultarn, som visade sig beredda att lyssna på henne?	0	nationalist
34	1591730326979616768	@CyberdemonTitan Ja. Men att påstå att den normen skulle vara stark, speciellt i progressiva individualistiska Sverige, det är så korkat att man måste pluggat många poäng genusvetenskap för att komma fram till det. Den normen är naturligtvis ännu starkare i länder där de traditionella  &gt;&gt;	1	genusvetenskap
35	1587463663509708803	I praktiken är det bara yttre artefakter som skiljer SD och NMR åt, i grund och botten har de samma utopiska hjärteland bebodd med endast etniska svenskar som dyrkar sina folkdräkter och dalahästar.  expo.se/2022/11/har-de…	1	hjärteland
